City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
230,redding,40.5864,-122.3917,284.61,15,0,10.8,US,1675115400
231,mbuji-mayi,-6.1259,23.5998,293.63,90,87,0.44,CD,1675115401
232,hofn,64.2533,-15.208,273.35,96,100,7.2,IS,1675115401
233,kashi,39.4703,75.9875,265.64,79,40,3.0,CN,1675115402
234,zhigansk,66.7656,123.3741,230.03,97,77,3.87,RU,1675115403
235,roros,62.5695,11.6604,270.31,80,75,7.72,NO,1675115405
236,fairbanks,64.8378,-147.7167,270.42,90,100,1.54,US,1675115405
237,sao joao da barra,-21.6349,-41.0487,301.21,82,96,9.31,BR,1675115406
238,constitucion,-35.3318,-72.4119,293.97,67,24,8.05,CL,1675115406
239,boa vista,2.8208,-60.672,304.14,45,40,3.09,BR,1675115407
240,wanxian,30.8105,108.4031,282.03,56,1,0.65,CN,1675115408
241,luderitz,-26.65,15.1573,289.27,93,0,3.59,NA,1675115409
242,tsiroanomandidy,-18.7698,46.0495,293.66,97,95,0.7,MG,1675115409
243,nouadhibou,20.9127,-17.0503,292.11,48,85,8.23,MR,1675115410
244,vanino,49.0905,140.2609,250.0,85,11,2.67,RU,1675115410
245,severo-kurilsk,50.6683,156.1154,268.02,63,90,9.06,RU,1675115411
246,rocha,-34.481,-54.3366,297.5,70,35,5.15,UY,1675115412
247,musoma,-1.4998,33.8083,295.2,83,20,0.0,TZ,1675115412
248,kaitangata,-46.2817,169.8464,294.46,58,21,3.78,NZ,1675115413
249,mahajanga,-15.7181,46.3173,300.16,89,20,2.57,MG,1675115413
250,tommot,58.9685,126.2669,242.98,99,100,0.29,RU,1675115414
251,hua hin,12.5699,99.9573,294.07,49,98,4.04,TH,1675115415
252,saskylakh,71.965,114.0939,227.84,100,60,0.51,RU,1675115415
253,velyka pysarivka,50.4253,35.4839,270.75,69,16,4.71,UA,1675115416
254,pevek,69.7028,170.2747,266.26,88,100,1.09,RU,1675115416
255,port hawkesbury,45.6181,-61.3575,272.66,84,100,4.12,CA,1675115417
256,ancud,-41.8682,-73.8287,290.09,55,12,2.3,CL,1675115418
257,samarai,-10.6106,150.6619,301.25,76,68,2.03,PG,1675115418
258,tezu,27.9254,96.1647,290.01,25,2,1.83,IN,1675115419
259,veraval,20.9101,70.3653,291.2,39,0,5.42,IN,1675115419
260,omboue,-1.5727,9.2653,296.09,94,100,3.06,GA,1675115420
261,elizabethtown,37.694,-85.8591,275.38,97,100,1.54,US,1675115183
262,ipixuna,-7.0503,-71.6912,298.32,95,74,0.85,BR,1675115421
263,kribi,2.8656,9.892,298.77,85,100,4.9,CM,1675115422
264,ponta delgada,37.7394,-25.6684,285.55,82,40,3.6,PT,1675115423
265,barranco,-12.144,-77.0203,296.85,73,59,5.66,PE,1675115423
266,tidore,0.6787,127.4483,299.61,81,97,3.09,ID,1675115424
267,polis,35.035,32.4259,284.03,88,96,3.34,CY,1675115425
268,coihaique,-45.5712,-72.0685,292.29,32,0,3.6,CL,1675115254
269,butka,56.7164,63.7849,263.21,92,100,3.23,RU,1675115426
270,gilgit,35.9208,74.314,271.54,79,31,1.09,PK,1675115426
271,arraial do cabo,-22.9663,-42.0244,300.14,74,40,9.26,BR,1675115427
272,alofi,-19.0534,-169.9192,301.43,78,75,2.57,NU,1675115428
273,vila velha,-20.3297,-40.292,300.12,85,20,6.69,BR,1675115428
274,mogzon,51.7412,111.971,258.76,83,100,5.55,RU,1675115429
275,ilulissat,69.2197,-51.0986,256.32,88,100,2.1,GL,1675115429
276,syamzha,60.0179,41.0755,271.09,94,100,5.79,RU,1675115430
277,abramovka,51.1893,41.0134,271.31,97,80,3.64,RU,1675115430
278,leningradskiy,54.1291,79.2367,252.75,99,45,2.76,RU,1675115431
